Name,Code,"Changes (-1 means terminus, 2 means 2+ changes, NaN means error or no connections possible)"
Corkerhill,CKH,1.0
Corkickle,CKL,2.0
Corpach,CPA,2.0
Corrour,CRR,2.0
Coryton,COY,2.0
Coseley,CSY,1.0
Cosford,COS,1.0
Cosham,CSA,2.0
Cottingham,CGM,0.0
Cottingley,COT,1.0
Coulsdon South,CDS,1.0
Coulsdon Town,CDN,2.0
Coventry,COV,1.0
Coventry Arena,CAA,2.0
Cowden (Kent),CWN,2.0
Cowdenbeath,COW,1.0
Cradley Heath,CRA,2.0
Craigendoran,CGD,1.0
Cramlington,CRM,1.0
Cranbrook (Devon),CBK,1.0
Craven Arms,CRV,1.0
Crawley,CRW,1.0
Crayford,CRY,2.0
Crediton,CDI,1.0
Cressing (Essex),CES,2.0
Cressington,CSG,1.0
Creswell,CWD,1.0
Crewe,CRE,1.0
Crewkerne,CKN,1.0
Crews Hill,CWH,2.0
Crianlarich,CNR,2.0
Criccieth,CCC,1.0
Cricklewood,CRI,1.0
Croftfoot,CFF,1.0
Crofton Park,CFT,1.0
Cromer,CMR,1.0
Cromford,CMF,1.0
Crookston,CKT,1.0
Cross Gates,CRG,1.0
Crossflatts,CFL,1.0
Crosshill,COI,1.0
Crosskeys,CKY,2.0
Crossmyloof,CMY,1.0
Croston,CSO,2.0
Crouch Hill,CRH,2.0
Crowborough,COH,2.0
Crowhurst,CWU,2.0
Crowle,CWE,0.0
Crowthorne,CRN,1.0
Croy,CRO,1.0
Crystal Palace,CYP,2.0
Cuddington,CUD,1.0
Cuffley,CUF,2.0
Culham,CUM,1.0
Culrain,CUA,2.0
Cumbernauld,CUB,1.0
Cupar,CUP,0.0
Curriehill,CUH,1.0
Cuxton,CUX,2.0
Cwmbach,CMH,2.0
Cwmbran,CWM,1.0
Cynghordy,CYN,2.0
Dagenham Dock,DDK,2.0
Daisy Hill,DSY,2.0
Dalgety Bay,DAG,1.0
Dalmally,DAL,2.0
Dalmarnock,DAK,1.0
Dalmeny,DAM,1.0
Dalmuir,DMR,1.0
Dalreoch,DLR,1.0
Dalry,DLY,1.0
Dalston (Cumbria),DLS,2.0
Dalston Junction,DLJ,2.0
Dalston Kingsland,DLK,2.0
Dalton (Cumbria),DLT,1.0
Dalwhinnie,DLW,1.0
Danby,DNY,2.0
Danescourt,DCT,2.0
Danzey,DZY,2.0
Darlington,DAR,0.0
Darnall,DAN,0.0
Darsham,DSM,2.0
Dartford,DFD,1.0
Darton,DRT,0.0
Darwen,DWN,2.0
Datchet,DAT,2.0
Davenport,DVN,1.0
Dawlish,DWL,1.0
Dawlish Warren,DWW,1.0
Deal,DEA,1.0
Dean (Wilts),DEN,1.0
Deansgate,DGT,1.0
Deganwy,DGY,1.0
Deighton,DHN,1.0
Delamere,DLM,1.0
Denby Dale,DBD,0.0
Denham,DNM,2.0
Denham Golf Club,DGC,2.0
Denmark Hill,DMK,1.0
Dent,DNT,1.0
Denton,DTN,1.0
Deptford,DEP,1.0
Derby,DBY,0.0
Derby Road (Ipswich),DBR,2.0
Devonport (Devon),DPT,1.0
Devonport Dockyard,DOC,1.0
Dewsbury,DEW,1.0
Didcot Parkway,DID,1.0
Digby & Sowton,DIG,1.0
Dilton Marsh,DMH,1.0
Dinas (Rhondda),DMG,2.0
Dinas Powys,DNS,2.0
Dingle Road,DGL,2.0
Dingwall,DIN,2.0
Dinsdale,DND,1.0
Dinting,DTG,1.0
Disley,DSL,1.0
Diss,DIS,1.0
Dodworth,DOD,0.0
Dolau,DOL,2.0
Doleham,DLH,2.0
Dolgarrog,DLG,2.0
Dolwyddelan,DWD,2.0
Doncaster,DON,0.0
Dorchester South,DCH,1.0
Dorchester West,DCW,1.0
Dore & Totley,DOR,0.0
Dorking (Main),DKG,2.0
Dorking Deepdene,DPD,2.0
Dorking West,DKT,1.0
Dormans,DMS,1.0
Dorridge,DDG,2.0
Dove Holes,DVH,1.0
Dover Priory,DVP,1.0
Dovercourt,DVC,2.0
Dovey Junction,DVY,1.0
Downham Market,DOW,1.0
Drayton Green,DRG,2.0
Drayton Park,DYP,2.0
Drem,DRM,1.0
Driffield,DRF,0.0
Drigg,DRI,2.0
Droitwich Spa,DTW,1.0
Dronfield,DRO,0.0
Drumchapel,DMC,1.0
Drumfrochar,DFR,1.0
Drumgelloch,DRU,1.0
Drumry,DMY,1.0
Dublin Ferryport,DFP,2.0
Dublin Port - Stena,DPS,2.0
Duddeston,DUD,1.0
Dudley Port,DDP,1.0
Duffield,DFI,1.0
Duirinish,DRN,2.0
Duke Street,DST,2.0
Dullingham,DUL,2.0
Dumbarton Central,DBC,1.0
Dumbarton East,DBE,1.0
Dumbreck,DUM,1.0
Dumfries,DMF,2.0
Dumpton Park,DMP,1.0
Dunbar,DUN,0.0
Dunblane,DBL,1.0
Duncraig,DCG,2.0
Dundee,DEE,0.0
Dunfermline Queen Margaret,DFL,1.0
Dunfermline Town,DFE,1.0
Dunkeld & Birnam,DKD,1.0
Dunlop,DNL,1.0
Dunrobin Castle,DNO,nan
Dunston,DOT,1.0
Dunton Green,DNG,2.0
Durham,DHM,0.0
Durrington-on-Sea,DUR,1.0
Dyce,DYC,1.0
Dyffryn Ardudwy,DYF,1.0
Eaglescliffe,EAG,1.0
Ealing Broadway,EAL,2.0
Earlestown,ERL,1.0
Earley,EAR,2.0
Earlsfield,EAD,2.0
Earlswood (Surrey),ELD,1.0
Earlswood (West Midlands),EWD,2.0
East Croydon,ECR,1.0
East Didsbury,EDY,1.0
East Dulwich,EDW,2.0
East Farleigh,EFL,2.0
East Garforth,EGF,1.0
East Grinstead,EGR,1.0
East Kilbride,EKL,1.0
East Malling,EML,2.0
East Midlands Parkway,EMD,0.0
East Tilbury,ETL,2.0
East Worthing,EWR,2.0
Eastbourne,EBN,2.0
Eastbrook,EBK,2.0
Easterhouse,EST,1.0
Eastham Rake,ERA,1.0
Eastleigh,ESL,2.0
Eastrington,EGN,1.0
Ebbsfleet International,EBD,1.0
Ebbw Vale Parkway,EBV,2.0
Ebbw Vale Town,EBB,2.0
Eccles (Manchester),ECC,1.0
Eccles Road,ECS,0.0
Eccleston Park,ECL,1.0
Edale,EDL,0.0
Eden Park,EDN,2.0
Edenbridge,EBR,2.0
Edenbridge Town,EBT,2.0
Edge Hill,EDG,1.0
Edinburgh,EDB,0.0
Edinburgh Gateway,EGY,1.0
Edinburgh Park,EDP,1.0
Edmonton Green,EDR,2.0
Effingham Junction,EFF,1.0
Eggesford,EGG,1.0
Egham,EGH,1.0
Egton,EGT,2.0
Elephant & Castle,EPH,1.0
Elephant & Castle (Underground),ZEL,nan
Elgin,ELG,1.0
Ellesmere Port,ELP,1.0
Elmers End,ELE,2.0
Elmstead Woods,ESD,2.0
Elmswell,ESW,2.0
Elsecar,ELR,0.0
Elsenham (Essex),ESM,2.0
Elstree & Borehamwood,ELS,1.0
Eltham,ELW,2.0
Elton & Orston,ELO,1.0
Ely,ELY,0.0
Emerson Park,EMP,2.0
Emsworth,EMS,1.0
Energlyn & Churchill Park,ECP,2.0
Enfield Chase,ENC,2.0
Enfield Lock,ENL,2.0
Enfield Town,ENF,2.0
Entwistle,ENT,2.0
Epsom (Surrey),EPS,2.0
Epsom Downs,EPD,2.0
Erdington,ERD,1.0
Eridge,ERI,2.0
Erith,ERH,2.0
Esher,ESH,2.0
Eskbank,EKB,1.0
Essex Road,EXR,2.0
Etchingham,ETC,2.0
Euxton Balshaw Lane,EBA,2.0
Evesham,EVE,1.0
Ewell East,EWE,2.0
Ewell West,EWW,2.0
Exeter Central,EXC,1.0
Exeter St David's,EXD,0.0
Exeter St Thomas,EXT,1.0
Exhibition Centre (Glasgow),EXG,1.0
Exmouth,EXM,1.0
Exton,EXN,1.0
Eynsford,EYN,2.0
Fairbourne,FRB,1.0
Fairfield,FRF,1.0
Fairlie,FRL,1.0
Fairwater,FRW,2.0
Falconwood,FCN,2.0
Falkirk Grahamston,FKG,1.0
Falkirk High,FKK,1.0
Falls of Cruachan,FOC,nan
Falmer,FMR,2.0
Falmouth Docks,FAL,1.0
Falmouth Town,FMT,1.0
Fareham,FRM,1.0
Farnborough (Main),FNB,2.0
Farnborough North,FNN,1.0
Farncombe,FNC,1.0
Farnham,FNH,2.0
Farningham Road,FNR,2.0
Farnworth,FNW,2.0
Farringdon,ZFD,1.0
Fauldhouse,FLD,1.0
Faversham,FAV,1.0
Faygate,FGT,1.0
Fazakerley,FAZ,2.0
Fearn,FRN,2.0
Featherstone,FEA,1.0
Felixstowe,FLX,2.0
Feltham,FEL,2.0
Feniton,FNT,1.0
Fenny Stratford,FEN,1.0
Fernhill,FER,2.0
Ferriby,FRY,0.0
Ferryside,FYS,1.0
Ffairfach,FFA,2.0
Filey,FIL,0.0
Filton Abbey Wood,FIT,1.0
Finchley Road & Frognal,FNY,2.0
Finsbury Park,FPK,1.0
Finstock,FIN,1.0
Fishbourne (Sussex),FSB,2.0
Fishersgate,FSG,2.0
Fishguard & Goodwick,FGW,1.0
Fishguard Harbour,FGH,1.0
Fiskerton,FSK,1.0
Fitzwilliam,FZW,0.0
Five Ways,FWY,1.0
Fleet,FLE,2.0
Flimby,FLM,2.0
Flint,FLN,1.0
Flitwick,FLT,1.0
Flixton,FLI,1.0
Flowery Field,FLF,1.0
Folkestone Central,FKC,1.0
Folkestone West,FKW,1.0
Ford,FOD,2.0
Forest Gate,FOG,2.0
Forest Hill,FOH,2.0
Formby,FBY,2.0
Forres,FOR,1.0
Forsinard,FRS,2.0
Fort Matilda,FTM,1.0
Fort William,FTW,2.0
Four Oaks,FOK,1.0
Foxfield,FOX,2.0
Foxton,FXN,2.0
Frant,FRT,2.0
Fratton,FTN,1.0
Freshfield,FRE,2.0
Freshford,FFD,1.0
Frimley,FML,2.0
Frinton-on-Sea,FRI,2.0
Frizinghall,FZH,1.0
Frodsham,FRD,1.0
Frome,FRO,1.0
Fulwell,FLW,2.0
Furness Vale,FNV,1.0
Furze Platt,FZP,2.0
Gainsborough Central,GNB,1.0
Gainsborough Lea Road,GBL,0.0
Galashiels,GAL,1.0
Garelochhead,GCH,2.0
Garforth,GRF,1.0
Gargrave,GGV,1.0
Garrowhill,GAR,1.0
