Name,Code,"Changes (-1 means terminus, 2 means 2+ changes, NaN means error or no connections possible)"
Dunblane,DBL,0.0
Duncraig,DCG,2.0
Dundee,DEE,1.0
Dunfermline Queen Margaret,DFL,1.0
Dunfermline Town,DFE,1.0
Dunkeld & Birnam,DKD,1.0
Dunlop,DNL,1.0
Dunrobin Castle,DNO,nan
Dunston,DOT,1.0
Dunton Green,DNG,2.0
Durham,DHM,1.0
Durrington-on-Sea,DUR,2.0
Dyce,DYC,1.0
Dyffryn Ardudwy,DYF,1.0
Eaglescliffe,EAG,1.0
Ealing Broadway,EAL,2.0
Earlestown,ERL,1.0
Earley,EAR,2.0
Earlsfield,EAD,2.0
Earlswood (Surrey),ELD,2.0
Earlswood (West Midlands),EWD,2.0
East Croydon,ECR,1.0
East Didsbury,EDY,0.0
East Dulwich,EDW,2.0
East Farleigh,EFL,2.0
East Garforth,EGF,1.0
East Grinstead,EGR,2.0
East Kilbride,EKL,1.0
East Malling,EML,2.0
East Midlands Parkway,EMD,2.0
East Tilbury,ETL,2.0
East Worthing,EWR,2.0
Eastbourne,EBN,2.0
Eastbrook,EBK,2.0
Easterhouse,EST,1.0
Eastham Rake,ERA,1.0
Eastleigh,ESL,2.0
Eastrington,EGN,1.0
Ebbsfleet International,EBD,2.0
Ebbw Vale Parkway,EBV,2.0
Ebbw Vale Town,EBB,2.0
Eccles (Manchester),ECC,1.0
Eccles Road,ECS,1.0
Eccleston Park,ECL,0.0
Edale,EDL,1.0
Eden Park,EDN,2.0
Edenbridge,EBR,2.0
Edenbridge Town,EBT,2.0
Edge Hill,EDG,0.0
Edinburgh,EDB,0.0
Edinburgh Gateway,EGY,1.0
Edinburgh Park,EDP,1.0
Edmonton Green,EDR,2.0
Effingham Junction,EFF,2.0
Eggesford,EGG,2.0
Egham,EGH,2.0
Egton,EGT,2.0
Elephant & Castle,EPH,1.0
Elephant & Castle (Underground),ZEL,nan
Elgin,ELG,1.0
Ellesmere Port,ELP,1.0
Elmers End,ELE,2.0
Elmstead Woods,ESD,2.0
Elmswell,ESW,2.0
Elsecar,ELR,1.0
Elsenham (Essex),ESM,2.0
Elstree & Borehamwood,ELS,2.0
Eltham,ELW,2.0
Elton & Orston,ELO,2.0
Ely,ELY,1.0
Emerson Park,EMP,2.0
Emsworth,EMS,2.0
Energlyn & Churchill Park,ECP,2.0
Enfield Chase,ENC,2.0
Enfield Lock,ENL,2.0
Enfield Town,ENF,2.0
Entwistle,ENT,1.0
Epsom (Surrey),EPS,2.0
Epsom Downs,EPD,2.0
Erdington,ERD,1.0
Eridge,ERI,2.0
Erith,ERH,2.0
Esher,ESH,2.0
Eskbank,EKB,1.0
Essex Road,EXR,2.0
Etchingham,ETC,2.0
Euxton Balshaw Lane,EBA,0.0
Evesham,EVE,2.0
Ewell East,EWE,2.0
Ewell West,EWW,2.0
Exeter Central,EXC,2.0
Exeter St David's,EXD,1.0
Exeter St Thomas,EXT,2.0
Exhibition Centre (Glasgow),EXG,1.0
Exmouth,EXM,2.0
Exton,EXN,2.0
Eynsford,EYN,2.0
Fairbourne,FRB,1.0
Fairfield,FRF,1.0
Fairlie,FRL,1.0
Fairwater,FRW,2.0
Falconwood,FCN,2.0
Falkirk Grahamston,FKG,0.0
Falkirk High,FKK,1.0
Falls of Cruachan,FOC,nan
Falmer,FMR,2.0
Falmouth Docks,FAL,2.0
Falmouth Town,FMT,2.0
