stop_id,stop_name,routes
PUO,"Purley Oaks",13
PUR,Purley,106
PUT,Putney,27
PWY,Patchway,10
PYC,Pontyclun,6
QBR,Queenborough,2
QPW,"Queens Park (London)",4
QRB,"Queenstown Road (Battersea)",54
QRP,"Queens Road Peckham",23
RAD,Radley,2
RAI,"Rainham (Kent)",46
RAM,Ramsgate,16
RAN,Rannoch,2
RAY,"Raynes Park",58
RBR,Robertsbridge,9
RBU,"Reading - buses",2
RDB,"Redbridge (Hants)",8
RDD,Riddlesdown,12
RDG,Reading,62
RDH,Redhill,76
RDT,Radlett,38
RDW,"Reading West",33
REC,"Rectory Road",4
RED,Redruth,2
REI,Reigate,2
RET,Retford,51
RFD,Rochford,2
RGL,"Rugeley Trent Valley",34
RHL,Rhyl,3
RHM,"Reedham (Surrey)",6
RIC,Rickmansworth,10
RLG,Rayleigh,2
RLN,"Rowlands Castle",9
RMC,"Rotherham Central",3
RMD,"Richmond (London)",39
RMF,Romford,22
RNM,"Rainham (London)",12
ROW,"Rowley Regis",4
RTR,Rochester,65
RUG,Rugby,48
RUN,Runcorn,2
RVB,Ravensbourne,14
RYB,"Roy Bridge",2
RYH,"Rye House",2
RYN,Roydon,8
RYS,Royston,37
SAC,"St Albans City",72
SAD,"Sandwell & Dudley",14
SAF,"Salfords (Surrey)",22
SAJ,"St Johns (London)",64
SAL,Salisbury,16
SAU,"St Austell",4
SAV,"Stratford-upon-Avon",2
SAW,Sawbridgeworth,10
SAY,Swanley,59
SBF,"St Budeaux Ferry Road",1
SBJ,"Stourbridge Junction",4
SBM,"South Bermondsey",23
SBP,"Stonebridge Park",2
SBR,"Spean Bridge",2
SBU,Southbury,2
SBY,Selby,6
SCF,Stechford,24
SCG,"Stone Crossing",35
SCS,Starcross,2
SCY,"South Croydon",88
SDA,Snodland,2
SDB,Sandbach,2
SDG,Sandling,15
SDH,"Sudbury Hill Harrow",9
SDM,Shieldmuir,6
SDN,"St Denys",14
SDR,Saunderton,23
SDW,Sandwich,18
SDY,Sandy,61
SEA,Seaham,2
SED,"Shelford (Cambs)",6
SEF,Seaford,2
SEG,Selling,3
SEH,"Shoreham (Kent)",4
SER,"St Erth",2
SEV,Sevenoaks,53
SFA,"Stratford International",25
SFO,"Stanford-le-Hope",10
SGB,"Smethwick Galton Bridge",19
SGM,"St Germans",4
SGN,"South Greenford",2
SGR,"Slade Green",56
SHE,Sherborne,10
SHF,Sheffield,7
SHO,Sholing,1
SHP,Shepperton,2
SHR,Shrewsbury,2
SHT,Shotton,3
SHU,Stonehouse,6
SHW,Shawford,15
SHY,Shipley,4
SIA,"Southend Airport",2
SID,Sidcup,26
SIH,"St Helier (London)",9
SIL,Sileby,15
SIP,Shipton,6
SIT,Sittingbourne,32
SJS,"St James Street (London)",2
SKI,Skipton,2
SKM,"Stoke Mandeville",10
SKW,"Stoke Newington",4
SLA,Slateford,15
SLO,Slough,65
SLQ,"St Leonards Warrior Square",14
SLS,Shettleston,2
SLV,"Silver Street",4
SMG,"St Margarets (London)",27
SMH,"Stamford Hill",4
SMK,Stowmarket,4
SMN,Southminster,2
SMO,"South Merton",9
SMR,"Smethwick Rolfe Street",1
SMT,"St Margarets (Herts)",2
SMY,"St Mary Cray",32
SNE,Stone,6
SNF,Shenfield,33
SNG,Sunningdale,6
SNL,Stoneleigh,10
SNO,"St Neots",8
SNR,Sanderstead,18
SNS,Staines,34
SNW,Swanwick,4
SNY,Sunnymeads,2
SOA,"Southampton Airport Parkway",12
SOB,Southbourne,12
SOC,"Southend Central",7
SOE,"Southend East",5
SOF,"South Woodham Ferrers",2
SOG,Stonegate,9
SOH,"South Hampstead",4
SOK,"South Kenton",2
SOL,Solihull,8
SOO,Strood,47
SOR,"Sole Street",31
SOT,"Stoke-on-Trent",6
SOU,"Southampton Central",13
SOV,"Southend Victoria",2
SPH,"Shepherds Well",5
SPO,Spondon,9
SPT,Stockport,2
SPU,Staplehurst,23
SRA,"Stratford (London)",45
SRC,"Streatham Common",62
SRG,"Seer Green",18
SRH,"Streatham Hill",12
SRS,Selhurst,86
SRT,Shortlands,57
SRU,"South Ruislip",30
SRY,Shoeburyness,4
SSD,"Stansted Airport",2
SSE,"Shoreham-by-Sea (Sussex)",17
SSS,"Sheerness-on-Sea",2
SST,"Stansted Mountfitchet",10
STA,Stafford,36
STD,"Stroud (Glos)",8
STE,Streatham,43
STG,Stirling,8
STH,Shepreth,7
STJ,"Severn Tunnel Junction",10
STK,Stockton,4
STL,Southall,71
STN,Stonehaven,5
STO,"South Tottenham",1
STS,Saltash,4
STU,Sturry,11
STW,"Strawberry Hill",18
STY,"Stratford-upon-Avon Parkway",2
SUC,"Sutton Common",9
SUD,"Sudbury & Harrow Road",6
SUN,Sunderland,4
SUO,"Sutton (London)",32
SUR,Surbiton,70
SUU,Sunbury,2
SVG,Stevenage,102
SVK,"Seven Kings",9
SVS,"Seven Sisters",18
SWA,Swansea,4
SWG,Swaythling,4
SWI,Swindon,36
SWK,Southwick,10
SWL,Swale,2
SWM,Swanscombe,34
SWN,"Swinton (South Yorks)",4
SWO,Snowdown,3
SWY,Sway,6
SYD,Sydenham,90
SYH,"Sydenham Hill",10
SYL,"Syon Lane",14
TAD,Tadworth,4
TAM,Tamworth,34
TAP,Taplow,6
TAT,"Tattenham Corner",4
TAU,Taunton,14
TBD,"Three Bridges",81
TBW,"Tunbridge Wells",13
TED,Teddington,20
TEO,"Theobalds Grove",2
TEY,Teynham,13
TFC,"Telford Central",2
TGM,Teignmouth,10
THA,Thatcham,7
THD,"Thames Ditton",2
THE,Theale,7
THI,Thirsk,29
THL,"Tile Hill",4
THW,"The Hawthorns",3
TIL,"Tilbury Town",10
TIP,Tipton,1
TIS,Tisbury,11
TLH,Tilehurst,4
